X,Y,NAME,URL,LINE
-73.981824,40.690635,DeKalb Ave,http://www.mta.info/nyct/subway/index.html,B-D-N-Q-R
-73.860495,40.85436433,Morris Park,http://www.mta.info/nyct/subway/index.html,5
-73.855359,40.85898533,Pelham Pkwy,http://www.mta.info/nyct/subway/index.html,5
-73.950426,40.68043833,Nostrand Ave,http://www.mta.info/nyct/subway/index.html,A-C
-73.9804068,40.68831091,Nevins St,http://www.mta.info/nyct/subway/index.html,2-3-4-5
-73.96422204,40.67203257,Eastern Pkwy - Bklyn Museum,http://www.mta.info/nyct/subway/index.html,2/3/2004
-73.95809974,40.67076549,Franklin Ave,http://www.mta.info/nyct/subway/index.html,2-3-4-5
-73.94884798,40.64512385,Beverly Rd,http://www.mta.info/nyct/subway/index.html,5-Feb
-73.94945514,40.65086102,Church Ave,http://www.mta.info/nyct/subway/index.html,5-Feb
-73.94829991,40.63999158,Newkirk Ave,http://www.mta.info/nyct/subway/index.html,5-Feb
-73.94754121,40.63284274,Brooklyn College - Flatbush Ave,http://www.mta.info/nyct/subway/index.html,5-Feb
-73.95007935,40.65665965,Winthrop St,http://www.mta.info/nyct/subway/index.html,5-Feb
-73.95072891,40.66277333,Sterling St,http://www.mta.info/nyct/subway/index.html,5-Feb
-73.93293256,40.66897864,Crown Hts - Utica Ave,http://www.mta.info/nyct/subway/index.html,4-Mar
-73.94215978,40.66948178,Kingston Ave,http://www.mta.info/nyct/subway/index.html,4-Mar
-73.940859,40.67991933,Kingston - Throop Aves,http://www.mta.info/nyct/subway/index.html,A-C
-73.951183,40.72448033,Nassau Ave,http://www.mta.info/nyct/subway/index.html,G
-73.954425,40.73126733,Greenpoint Ave,http://www.mta.info/nyct/subway/index.html,G
-73.957832,40.70838333,Marcy Ave,http://www.mta.info/nyct/subway/index.html,J-M-Z
-73.953488,40.70689033,Hewes St,http://www.mta.info/nyct/subway/index.html,J-M
-73.9874094,40.71830639,Essex St,http://www.mta.info/nyct/subway/index.html,J-M-Z
-73.929849,40.81322433,138th St - Grand Concourse,http://www.mta.info/nyct/subway/index.html,5-Apr
-73.9752485,40.76008717,5th Ave - 53rd St,http://www.mta.info/nyct/subway/index.html,E-M
-73.96907237,40.75746864,Lexington Ave - 53rd St,http://www.mta.info/nyct/subway/index.html,E-M
-73.988698,40.74545433,28th St,http://www.mta.info/nyct/subway/index.html,N-R
